Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 25.00      0.01     0.01                             gResolveSplitPenetrationImpulse_scalar_reference(btSolverBody&, btSolverBody&, btSolverConstraint const&)
 25.00      0.02     0.01                             btDbvtBroadphase::setAabb(btBroadphaseProxy*, btVector3 const&, btVector3 const&, btDispatcher*)
 25.00      0.03     0.01                             btHashedOverlappingPairCache::internalAddPair(btBroadphaseProxy*, btBroadphaseProxy*)
 25.00      0.04     0.01                             btSequentialImpulseConstraintSolver::getOrInitSolverBody(btCollisionObject&, float)
  0.00      0.04     0.00   453867     0.00     0.00  btVector3::x() const
  0.00      0.04     0.00   453867     0.00     0.00  btVector3::y() const
  0.00      0.04     0.00   453867     0.00     0.00  btVector3::z() const
  0.00      0.04     0.00   314355     0.00     0.00  btMatrix3x3::operator[](int) const
  0.00      0.04     0.00   259264     0.00     0.00  btVector3::btVector3()
  0.00      0.04     0.00   106608     0.00     0.00  btVector3::setValue(float const&, float const&, float const&)
  0.00      0.04     0.00   105087     0.00     0.00  btVector3::dot(btVector3 const&) const
  0.00      0.04     0.00    70515     0.00     0.00  btVector3::btVector3(float const&, float const&, float const&)
  0.00      0.04     0.00    69756     0.00     0.00  btMatrix3x3::tdotx(btVector3 const&) const
  0.00      0.04     0.00    69756     0.00     0.00  btMatrix3x3::tdoty(btVector3 const&) const
  0.00      0.04     0.00    69756     0.00     0.00  btMatrix3x3::tdotz(btVector3 const&) const
  0.00      0.04     0.00    35486     0.00     0.00  btMatrix3x3::btMatrix3x3(btMatrix3x3 const&)
  0.00      0.04     0.00    35334     0.00     0.00  btMatrix3x3::setValue(float const&, float const&, float const&, float const&, float const&, float const&, float const&, float const&, float const&)
  0.00      0.04     0.00    35030     0.00     0.00  btMatrix3x3::btMatrix3x3(float const&, float const&, float const&, float const&, float const&, float const&, float const&, float const&, float const&)
  0.00      0.04     0.00    35030     0.00     0.00  btTransform::btTransform(btMatrix3x3 const&, btVector3 const&)
  0.00      0.04     0.00    34875     0.00     0.00  btTransform::getOrigin()
  0.00      0.04     0.00    23402     0.00     0.00  btRigidBody::getMotionState()
  0.00      0.04     0.00    23252     0.00     0.00  btMatrix3x3::operator=(btMatrix3x3 const&)
  0.00      0.04     0.00    23252     0.00     0.00  btTransform::operator=(btTransform const&)
  0.00      0.04     0.00    23252     0.00     0.00  btTransform::operator()(btVector3 const&) const
  0.00      0.04     0.00    23252     0.00     0.00  btTransform::operator*(btTransform const&) const
  0.00      0.04     0.00    23252     0.00     0.00  btVector3::dot3(btVector3 const&, btVector3 const&, btVector3 const&) const
  0.00      0.04     0.00    23252     0.00     0.00  operator*(btMatrix3x3 const&, btMatrix3x3 const&)
  0.00      0.04     0.00    23252     0.00     0.00  operator+(btVector3 const&, btVector3 const&)
  0.00      0.04     0.00    11929     0.00     0.00  btMatrix3x3::btMatrix3x3()
  0.00      0.04     0.00    11929     0.00     0.00  btTransform::btTransform()
  0.00      0.04     0.00    11777     0.00     0.00  btMatrix3x3::transpose() const
  0.00      0.04     0.00    11777     0.00     0.00  btTransform::inverse() const
  0.00      0.04     0.00    11777     0.00     0.00  btDefaultMotionState::getWorldTransform(btTransform&) const
  0.00      0.04     0.00    11777     0.00     0.00  operator*(btMatrix3x3 const&, btVector3 const&)
  0.00      0.04     0.00    11777     0.00     0.00  operator-(btVector3 const&)
  0.00      0.04     0.00    11625     0.00     0.00  btRigidBody::upcast(btCollisionObject*)
  0.00      0.04     0.00    11625     0.00     0.00  btCollisionWorld::getCollisionObjectArray()
  0.00      0.04     0.00    11625     0.00     0.00  btAlignedObjectArray<btCollisionObject*>::operator[](int)
  0.00      0.04     0.00    11625     0.00     0.00  btCollisionObject::getInternalType() const
  0.00      0.04     0.00    11625     0.00     0.00  btVector3::getX() const
  0.00      0.04     0.00    11625     0.00     0.00  btVector3::getY() const
  0.00      0.04     0.00    11625     0.00     0.00  btVector3::getZ() const
  0.00      0.04     0.00    11475     0.00     0.00  btDefaultMotionState::setWorldTransform(btTransform const&)
  0.00      0.04     0.00      608     0.00     0.00  std::vector<btRigidBody*, std::allocator<btRigidBody*> >::operator[](unsigned long)
  0.00      0.04     0.00      456     0.00     0.00  btTransform::btTransform(btTransform const&)
  0.00      0.04     0.00      313     0.00     0.00  btRigidBody* const& std::forward<btRigidBody* const&>(std::remove_reference<btRigidBody* const&>::type&)
  0.00      0.04     0.00      304     0.00     0.00  btMatrix3x3::setIdentity()
  0.00      0.04     0.00      304     0.00     0.00  btTransform::setIdentity()
  0.00      0.04     0.00      198     0.00     0.00  std::vector<btRigidBody*, std::allocator<btRigidBody*> >::size() const
  0.00      0.04     0.00      152     0.00     0.00  btRigidBody::getCollisionShape()
  0.00      0.04     0.00      152     0.00     0.00  btRigidBody::btRigidBodyConstructionInfo::btRigidBodyConstructionInfo(float, btMotionState*, btCollisionShape*, btVector3 const&)
  0.00      0.04     0.00      152     0.00     0.00  btTransform::getIdentity()
  0.00      0.04     0.00      152     0.00     0.00  btTransform::setOrigin(btVector3 const&)
  0.00      0.04     0.00      152     0.00     0.00  btMotionState::btMotionState()
  0.00      0.04     0.00      152     0.00     0.00  btMotionState::~btMotionState()
  0.00      0.04     0.00      152     0.00     0.00  btCollisionObject::operator new(unsigned long)
  0.00      0.04     0.00      152     0.00     0.00  btDefaultMotionState::btDefaultMotionState(btTransform const&, btTransform const&)
  0.00      0.04     0.00      152     0.00     0.00  btDefaultMotionState::~btDefaultMotionState()
  0.00      0.04     0.00      152     0.00     0.00  btDefaultMotionState::~btDefaultMotionState()
  0.00      0.04     0.00      152     0.00     0.00  btDefaultMotionState::operator delete(void*)
  0.00      0.04     0.00      152     0.00     0.00  btDefaultMotionState::operator new(unsigned long)
  0.00      0.04     0.00      152     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIP11btRigidBodyE9constructIS2_IRKS2_EEEvPT_DpOT0_
  0.00      0.04     0.00      152     0.00     0.00  _ZNSt16allocator_traitsISaIP11btRigidBodyEE9constructIS1_IRKS1_EEEvRS2_PT_DpOT0_
  0.00      0.04     0.00      152     0.00     0.00  std::vector<btRigidBody*, std::allocator<btRigidBody*> >::push_back(btRigidBody* const&)
  0.00      0.04     0.00      152     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.04     0.00      151     0.00     0.00  addSphere(float, float, float, float, float)
  0.00      0.04     0.00      151     0.00     0.00  btSphereShape::btSphereShape(float)
  0.00      0.04     0.00      151     0.00     0.00  btSphereShape::operator new(unsigned long)
  0.00      0.04     0.00      151     0.00     0.00  btVector3::setX(float)
  0.00      0.04     0.00      151     0.00     0.00  btVector3::setZero()
  0.00      0.04     0.00      150     0.00     0.00  btRigidBody::setLinearVelocity(btVector3 const&)
  0.00      0.04     0.00      150     0.00     0.00  btCollisionWorld::getNumCollisionObjects() const
  0.00      0.04     0.00      150     0.00     0.00  btAlignedObjectArray<btCollisionObject*>::size() const
  0.00      0.04     0.00       27     0.00     0.00  __gnu_cxx::new_allocator<btRigidBody*>::max_size() const
  0.00      0.04     0.00       27     0.00     0.00  std::_Iter_base<btRigidBody**, false>::_S_base(btRigidBody**)
  0.00      0.04     0.00       27     0.00     0.00  std::_Niter_base<btRigidBody**>::iterator_type std::__niter_base<btRigidBody**>(btRigidBody**)
  0.00      0.04     0.00       19     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::_M_get_Tp_allocator()
  0.00      0.04     0.00       18     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::_M_get_Tp_allocator() const
  0.00      0.04     0.00       18     0.00     0.00  std::move_iterator<btRigidBody**>::base() const
  0.00      0.04     0.00       18     0.00     0.00  std::vector<btRigidBody*, std::allocator<btRigidBody*> >::max_size() const
  0.00      0.04     0.00       18     0.00     0.00  std::_Iter_base<std::move_iterator<btRigidBody**>, true>::_S_base(std::move_iterator<btRigidBody**>)
  0.00      0.04     0.00       18     0.00     0.00  std::move_iterator<btRigidBody**>::move_iterator(btRigidBody**)
  0.00      0.04     0.00       18     0.00     0.00  std::allocator_traits<std::allocator<btRigidBody*> >::max_size(std::allocator<btRigidBody*> const&)
  0.00      0.04     0.00       18     0.00     0.00  std::_Miter_base<std::move_iterator<btRigidBody**> >::iterator_type std::__miter_base<std::move_iterator<btRigidBody**> >(std::move_iterator<btRigidBody**>)
  0.00      0.04     0.00       18     0.00     0.00  std::move_iterator<btRigidBody**> std::__make_move_if_noexcept_iterator<btRigidBody**, std::move_iterator<btRigidBody**> >(btRigidBody**)
  0.00      0.04     0.00       10     0.00     0.00  void std::_Destroy_aux<true>::__destroy<btRigidBody**>(btRigidBody**, btRigidBody**)
  0.00      0.04     0.00       10     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::_M_deallocate(btRigidBody**, unsigned long)
  0.00      0.04     0.00       10     0.00     0.00  void std::_Destroy<btRigidBody**>(btRigidBody**, btRigidBody**)
  0.00      0.04     0.00       10     0.00     0.00  void std::_Destroy<btRigidBody**, btRigidBody*>(btRigidBody**, btRigidBody**, std::allocator<btRigidBody*>&)
  0.00      0.04     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<btRigidBody*>::deallocate(btRigidBody**, unsigned long)
  0.00      0.04     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<btRigidBody*>::allocate(unsigned long, void const*)
  0.00      0.04     0.00        9     0.00     0.00  std::vector<btRigidBody*, std::allocator<btRigidBody*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<btRigidBody*>(btRigidBody* const*, btRigidBody* const*, btRigidBody**)
  0.00      0.04     0.00        9     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::_M_allocate(unsigned long)
  0.00      0.04     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<btRigidBody*> >::deallocate(std::allocator<btRigidBody*>&, btRigidBody**, unsigned long)
  0.00      0.04     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<btRigidBody*> >::allocate(std::allocator<btRigidBody*>&, unsigned long)
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<btRigidBody**>, btRigidBody**>(std::move_iterator<btRigidBody**>, std::move_iterator<btRigidBody**>, btRigidBody**)
  0.00      0.04     0.00        9     0.00     0.00  void std::vector<btRigidBody*, std::allocator<btRigidBody*> >::_M_emplace_back_aux<btRigidBody* const&>(btRigidBody* const&)
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::__copy_move_a<true, btRigidBody**, btRigidBody**>(btRigidBody**, btRigidBody**, btRigidBody**)
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::__copy_move_a2<true, btRigidBody**, btRigidBody**>(btRigidBody**, btRigidBody**, btRigidBody**)
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::uninitialized_copy<std::move_iterator<btRigidBody**>, btRigidBody**>(std::move_iterator<btRigidBody**>, std::move_iterator<btRigidBody**>, btRigidBody**)
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::__uninitialized_copy_a<std::move_iterator<btRigidBody**>, btRigidBody**, btRigidBody*>(std::move_iterator<btRigidBody**>, std::move_iterator<btRigidBody**>, btRigidBody**, std::allocator<btRigidBody*>&)
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::__uninitialized_move_if_noexcept_a<btRigidBody**, btRigidBody**, std::allocator<btRigidBody*> >(btRigidBody**, btRigidBody**, btRigidBody**, std::allocator<btRigidBody*>&)
  0.00      0.04     0.00        9     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.04     0.00        9     0.00     0.00  btRigidBody** std::copy<std::move_iterator<btRigidBody**>, btRigidBody**>(std::move_iterator<btRigidBody**>, std::move_iterator<btRigidBody**>, btRigidBody**)
  0.00      0.04     0.00        4     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.04     0.00        3     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.04     0.00        2     0.00     0.00  std::chrono::duration<double, std::ratio<1l, 1l> >::count() const
  0.00      0.04     0.00        1     0.00     0.00  _GLOBAL__sub_I_world
  0.00      0.04     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.04     0.00        1     0.00     0.00  init()
  0.00      0.04     0.00        1     0.00     0.00  btMatrix3x3::getIdentity()
  0.00      0.04     0.00        1     0.00     0.00  btInfMaskConverter::btInfMaskConverter(int)
  0.00      0.04     0.00        1     0.00     0.00  btStaticPlaneShape::operator new(unsigned long)
  0.00      0.04     0.00        1     0.00     0.00  btDiscreteDynamicsWorld::operator new(unsigned long)
  0.00      0.04     0.00        1     0.00     0.00  btDefaultCollisionConstructionInfo::btDefaultCollisionConstructionInfo()
  0.00      0.04     0.00        1     0.00     0.00  btSequentialImpulseConstraintSolver::operator new(unsigned long)
  0.00      0.04     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<btRigidBody*>::new_allocator()
  0.00      0.04     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<btRigidBody*>::~new_allocator()
  0.00      0.04     0.00        1     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::count() const
  0.00      0.04     0.00        1     0.00     0.00  std::allocator<btRigidBody*>::allocator()
  0.00      0.04     0.00        1     0.00     0.00  std::allocator<btRigidBody*>::~allocator()
  0.00      0.04     0.00        1     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::_Vector_impl::_Vector_impl()
  0.00      0.04     0.00        1     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::_Vector_impl::~_Vector_impl()
  0.00      0.04     0.00        1     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::_Vector_base()
  0.00      0.04     0.00        1     0.00     0.00  std::_Vector_base<btRigidBody*, std::allocator<btRigidBody*> >::~_Vector_base()
  0.00      0.04     0.00        1     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<double, std::ratio<1l, 1l> > >::value, std::chrono::duration<double, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<double, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
